key,en,es,zh
<!MissingKey:小喷菇：“我是最近才知道僵尸的事情。和很多蘑菇一样，我只是把他们想象成童话和电影里的怪物。不过这次的经历已经让我大开眼界了。”>,,,小喷菇：“我是最近才知道僵尸的事情。和很多蘑菇一样，我只是把他们想象成童话和电影里的怪物。不过这次的经历已经让我大开眼界了。”
TOWERDEFENSE_PLANT_SUNMINE_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]1800[/color]
范围：[color=cc241d]单格[/color]
特点：[color=cc241d]单独使用，需要15秒准备时间，爆炸后获得50阳光[/color]"
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_ACCESS,,,每日挑战 2025/7月 累计完成21天
TOWERDEFENSE_PLANT_CORNTROP_EXPRESTION,,,爆胎与黄油玉米的艺术。
TOWERDEFENSE_ZOMBIE_SNOWPEA_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]270[/color]
伤害：[color=cc241d]100/s（啃食） + 20x1/次（射击）[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]小型僵尸[/color]
速度：[color=cc241d]慢[/color]
特点：[color=cc241d]当前方有非低矮植物时每次能发射1颗寒冰豌豆攻击并减速你的植物[/color]"
TOWERDEFENSE_READYSETPLANTS_READY,Ready..,Ready..,准备..
TOWERDEFENSE_PLANT_SQUASH_EXPRESTION,,,窝瓜会压扁第一个接近它的僵尸
SHOP_NPC_TALK_PLANT_QUEENSUNFLOWER_CUSTOM_0,,,向日葵女王的皮肤！你可以在图鉴装扮你的植物！
LOAD_COLLECTABLE,Load collectable,Load collectable,加载收集物
SHOP_NPC_TALK_SUNCOLLECT,,,阳光手套，能帮你自动拾取场上的阳光！
TOWERDEFENSE_ZOMBIE_GATLINGDOLPHINRIDER_EXPRESTION,,,机枪海豚僵尸归来了，所有僵尸——都闪开！
SHOP_NPC_TALK_PLANT_WINTERMELONGSHROOM_CUSTOM_0,,,冰瓜大喷菇的皮肤！你可以在图鉴装扮你的植物！
TOWERDEFENSE_PLANT_SUNPAD_EXPRESTION,,,睡莲多面手，生产阳光、温暖植物、灼烧僵尸！
TOWERDEFENSE,Defense,Defense,塔防
TOWERDEFENSE_PLANT_PUMPKINFIREICE_NAME,Ice Flame Pumpkin Head,Ice Flame Pumpkin Head,冰焰南瓜头
TOWERDEFENSE_ZOMBIE_DANCERFIRE_HANDBOOK_STORY,,,火焰舞者正值青春期，他们的胡子是贴上去的。他们为了衬托领舞的黄火，把自己的火焰改成了绿色。“其实我不是很想把这玩意染成绿的！”
LEVEL1_5_BROADCAST_1,,,一直挖吧，直到你的场地上没有植物！
NPC_TALK_LEVEL3_5_TUTORIAL_3,,,等等？天上掉下来的这是什么？
NPC_TALK_LEVEL3_5_TUTORIAL_2,,,感觉我的帽子都要生锈了！
TOWERDEFENSE_ZOMBIE_SNOWPEA_EXPRESTION,,,向你的防线发射寒冰子弹。
NPC_TALK_LEVEL3_5_TUTORIAL_1,,,下雨了？我不喜欢这种潮湿的天气。
SHOP_NPC_TALK_PITCHFORK_SUN,,,阳光草耙，干掉僵尸的同时掉落阳光！能使用三关！
NPC_TALK_LEVEL3_5_TUTORIAL_6,,,我收回那句话，这雨可太棒了！
NPC_TALK_LEVEL3_5_TUTORIAL_5,,,哈哈，不管怎么说这可是天降馅饼了！
NPC_TALK_LEVEL3_5_TUTORIAL_4,,,为什么杂交植物的种子会和雨水一起掉下来？
TOWERDEFENSE_ZOMBIE_DOLPHINSN_EXPRESTION,,,海豚骑士僵尸迷上了潜水！
TOWERDEFENSE_ZOMBIE_PRESENTBOX_HANDBOOK_STORY,,,抽奖盒子僵尸不知道自己头顶是什么东西，这个盒子从未开启过，但他预感它一旦打开，可能会放出什么东西。他不清楚那时的自己还算不算自己，但当他踏上草坪时，总有那么一瞬间，他会突然希望有谁将盒子打开。
TOWERDEFENSE_ZOMBIE_PEASHOOTER_HANDBOOK_STORY,,,面对现在可怕的植物们，普通僵尸想念曾经的豌豆射手。他曾经有一次有机会吃到脑子，但是他本能的当成豌豆吐了出去。
<!MissingKey:继续游戏>,RESUME,RESUME,继续游戏
TOWERDEFENSE_ZOMBIE_LADDER_EXPRESTION,,,扶梯僵尸的梯子可以让僵尸们爬过面前的障碍物。
TOWERDEFENSE_ZOMBIE_BACKUP_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]270[/color]
伤害：[color=cc241d]100/s[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]小型僵尸[/color]
移速：[color=cc241d]慢[/color]"
TOWERDEFENSE_READYSETPLANTS_PLANTS,PLANT!,PLANT!,植物!
TOWERDEFENSE_PLANT_QUEENSUNFLOWER_CUSTOM_1_ACCESS,,,商店购买（价格15000）
TOWERDEFENSE_PLANT_CHERRYBOMB_HANDBOOK_STORY,,,“我要‘爆’开了，”樱桃一号说。“不，我们是要‘炸’开了！”它哥哥樱桃二号说。经过激烈的商议之后，它们才统一达成“爆炸”这个说法。
TOWERDEFENSE_ZOMBIE_FLAG_HANDBOOK_STORY,,,无需置疑：摇旗僵尸喜爱脑子，但在私下里他也迷恋旗帜。或许是因为旗帜上也画有脑子吧，这很难说。
TOWERDEFENSE_PLANT_FIRENUT_CUSTOM_1_ACCESS,,,每日挑战 2025/7月 累计完成7天
TOWERDEFENSE_ZOMBIE_SHADOW_HANDBOOK_STORY,,,所有僵尸都有自己的影子，但他们更加羡慕影子僵尸的影子，因为他的影子总是能够自由移动，而且很板正。“想知道为什么吗，因为身正不怕影子斜。”影子僵尸如是说。
TOWERDEFENSE_PLANT_TABOODOOMSHROOM_NAME,Taboo Doomshroom,Taboo Doomshroom,禁忌毁灭菇
<!MissingKey:重新开始>,RESTART,RESTART,重新开始
TOWERDEFENSE_PLANT_MELONPULTSPIKE_CUSTOM_1_ACCESS,,,每日挑战 2025/9月 累计完成21天
<!MissingKey:墓碑开始松动!>,THE TOMBSTONE IS STARTING TO LOOSEN,THE TOMBSTONE IS STARTING TO LOOSEN,墓碑开始松动!
NPC_TALK_LEVEL1_1_TUTORIAL_1,,,你好，我的邻居。
NPC_TALK_LEVEL1_1_TUTORIAL_3,,,那帮僵尸还在源源不断地进攻，而你的植物却不知所踪？
NPC_TALK_LEVEL1_1_TUTORIAL_2,,,我听说了你的情况，所以赶来了。
NPC_TALK_LEVEL1_1_TUTORIAL_5,,,没关系！你的好邻居：疯狂戴夫，特此来帮助你了！
NPC_TALK_LEVEL1_1_TUTORIAL_4,,,看来是埃德加那家伙在作怪。
NPC_TALK_LEVEL1_1_TUTORIAL_7,,,这些全新的——杂交植物！
NPC_TALK_LEVEL1_1_TUTORIAL_6,,,我要给你看看我的压箱底的好东西...
NPC_TALK_LEVEL1_1_TUTORIAL_9,,,来，试着种植一下吧！
NPC_TALK_LEVEL1_1_TUTORIAL_8,,,比如这株豌豆向日葵！集合生产和攻击，为你节省一倍的草坪空间！
TOWERDEFENSE_ZOMBIE_GATLINGPEA_HANDBOOK_STORY,,,机枪僵尸很生气：曾经的他是那么威风，但据说越来越多僵尸都开始配备了机枪，这使他的威严黯然失色。他正在研究更厉害的狂野机枪。
TOWERDEFENSE_ZOMBIE_GATLINGDOLPHINRIDER_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]500[/color]
伤害：[color=cc241d]150/s（挥砍）或 100/s（啃食）+ 20x4/次（射击）[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]小型僵尸[/color]
速度：[color=cc241d]快，跳跃后慢[/color]
特点：[color=cc241d]发射四颗豌豆攻击植物，并能够跃过碰到的第一株植物[/color]
弱点：[color=441D62]高坚果[/color]"
TOWERDEFENSE_PLANT_SUNBOMB_EXPRESTION,,,能将僵尸转化为阳光！
TOWERDEFENSE_ZOMBIE_JALAPENO_NAME,Hot Pepper Zombie,Hot Pepper Zombie,火爆辣椒僵尸
TOWERDEFENSE_PLANT_GLOOMPULT_NAME,Gloompult,Gloompult,忧郁菇投手
TOWERDEFENSE_PLANT_FIRENUT_CUSTOM_1_NAME,,,炎头队长
TOWERDEFENSE_PLANT_JALAPENO_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]1800（火焰伤害）[/color]
范围：[color=cc241d]自身所在一整行[/color]
特性：[color=C71585]清除冰道与冰球[/color]
特点：[color=cc241d]并解除植物与僵尸身上的减速和冻结效果[/color]"
TOWERDEFENSE_PLANT_PUMPKINFIRE_EXPRESTION,,,火炬树桩喝了酒，火势一发不可收拾！
TOWERDEFENSE_PLANT_SCAREDYSHROOM_EXPRESTION,,,胆小菇是一种远程射手，但敌人接近后会躲起来。
TOWERDEFENSE_PLANT_SNOWWOOD_EXPRESTION,,,点燃豌豆、冰豆、火球为具有减速的冰焰豌豆。
LOAD_CHARACTER,Load character,Load character,加载植物和僵尸
<!MissingKey:毁灭菇可以摧毁大范围的僵尸，并留下一个不能种植物的弹坑。>,,,毁灭菇可以摧毁大范围的僵尸，并留下一个不能种植物的弹坑。
TOWERDEFENSE_ZOMBIE_FOOTBALL_EXPRESTION,,,橄榄球僵尸的表演秀。
TOWERDEFENSE_PLANT_MAGNETNUT_HANDBOOK_STORY,,,“物理学家争论的焦点从来不在于为什么一个坚果能产生金属作用力，”磁力坚果说道，“其实在哲学层面就很好解释了，我思故我在。”磁力坚果坚信自己读完王阳明心学会更有所收获。
TOWERDEFENSE_ZOMBIE_BACKUP_EXPRESTION,,,当迪斯科僵尸摇摆时，四名舞者结伙出现。
LEVLE_EVENT_TIPS_PLAY,TipsPlay,TipsPlay,播放警告
TOWERDEFENSE_PLANT_SNOWWOOD_HANDBOOK_STORY,,,"头冠在火炬树桩家族都是很重要的物品，谁的火冠大，谁的地位就越高。“我曾想通过带一个皇冠来凸现我的火冠的，可惜他们都说我老土。”冰炬树桩说，“现在，有了这个冰冠，我也成了火炬树桩中地位高的那一个了。”
“这不是寒冰射手的头饰吗…”豌豆射手小声说道。"
PLAYERS_MORDEN_LEVEL_NAME,Front Yard 1 - {LevelNumber},Front Yard 1 - {LevelNumber},前院告急1 - {LevelNumber}
TOWERDEFENSE_ZOMBIE_YETIDIGGER_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]100 + 800[/color]
伤害：[color=cc241d]100/s[/color]
佩戴：[color=cc241d]矿工头盔（一类）[/color]
类型：[color=cc241d]矿工僵尸[/color]
速度：[color=cc241d]快，而后慢（出土后）[/color]
特点：[color=cc241d]挖地道，从第2列出来反向走10秒后再次转向[/color]
亡语：[color=cc241d]死亡后掉落1枚随机种类货币（银币80%，金币18%，钻石2%）[/color]"
TOWERDEFENSE_ZOMBIE_DOLPHINRIDER_HANDBOOK_STORY,,,那海豚其实也是个僵尸。
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_CUSTOM_1_NAME,,,秘制汉堡
TOWERDEFENSE_ZOMBIE_JACKSONX_NAME,Dancing Zombie,Dancing Zombie,精英舞王僵尸
TOWERDEFENSE_ZOMBIE_GARGANTUARZOMBONI_HANDBOOK_STORY,,,退休的雪橇车僵尸用毕生所学传教伽刚特尔，并为他定制了一辆巨型雪橇车。
<!MissingKey:蹦极僵尸从天而降，偷走你的植物。>,,,蹦极僵尸从天而降，偷走你的植物。
<!MissingKey:特点：受到该效果的僵尸会在持续时间内减缓移动速度。>,,,"特点：受到该效果的僵尸会在持续时间内减缓移动速度。
进阶：无
互斥：受到火焰效果时会立即结束该效果"
SHOP_NPC_TALK_PITCHFORK,,,这把草耙能给僵尸当头一棒！它会自动摆放在僵尸的必经之路上！
NPC_TALK_LEVEL3_1_TUTORIAL_4,,,放轻松，像以前一样打飞那帮僵尸的脑袋吧！
NPC_TALK_LEVEL3_1_TUTORIAL_3,,,不过没关系！在杂交植物的帮助下，僵尸想闯进来可没那么容易！
TOWERDEFENSE_PLANT_CACTUSBLOVER_HANDBOOK_STORY,,,仙人三叶草喜欢速战速决，尽管吹出一大堆尖刺容易让他肌肉疲劳，但他依然乐此不疲。只是他还要提防三叶仙人掌的碎碎念。
NPC_TALK_LEVEL3_1_TUTORIAL_2,,,瞧见那些泳圈了吗？你的后院看样子要热闹起来了。
NPC_TALK_LEVEL3_1_TUTORIAL_1,,,看来僵尸们的思考回路没有多大变化。
TOWERDEFENSE_PLANT_SUNBEAN_EXPRESTION,,,阳光豆，不占位置的阳光作物，还会长大！
<!MissingKey:密码>,PASSWORD,PASSWORD,密码
SHOP_NPC_TALK_PLANT_FIRETALLNUT,,,把这张紫卡种在你的火炬坚果/冰炬树桩上，把它升级成冰炬高坚果！
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_NAME,,,地雷龟
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_CUSTOM_1_NAME,,,科学怪人
LOAD_MOWER,Load mower,Load mower,加载小推车
TOWERDEFENSE_ZOMBIE_BALLOON_NAME,Balloon Zombie,Balloon Zombie,气球僵尸
TOWERDEFENSE_PLANT_JALANUT_NAME,Jalapeno Nut,Jalapeno Nut,火爆坚果
TOWERDEFENSE_ZOMBIE_BUCKETHEAD_EXPRESTION,,,他的铁桶头盔，能极大程度的承受伤害。
<!MissingKey:游戏暂停>,PAUSE,PAUSE,游戏暂停
<!MissingKey:大喷菇>,Giant puffball,Giant puffball,大喷菇
TOWERDEFENSE_ZOMBIE_FOOTBALL_NAME,Football Zombie,Football Zombie,橄榄球僵尸
TOWERDEFENSE_TIPS_DAY,SUN IS RISING,SUN IS RISING,天亮了！
TOWERDEFENSE_PLANT_CORNTROP_HANDBOOK_STORY,,,戴夫打翻了一罐黄油玉米粒，不小心洒在了地刺上，于是罐头改变了地刺的颜色和尖刺。尽管他现在看起来像一块玉米挞，但僵尸再也不能“脚滑”地轻易通过了。
TOWERDEFENSE_PLANT_TANGLEKELPH_EXPRESTION,,,魅惑海草能够拖僵尸下水，将其魅惑后放出。
TOWERDEFENSE_ZOMBIE_NUT_EXPRESTION,,,据说这种僵尸跟坚果一样抗揍。
AWARD_PACKET_PLANT,You got a new plant!,You got a new plant!,你获得了一株新植物!
<!MissingKey:你对植物大战僵尸这款游戏的熟悉程度>,How familiar are you with Plants vs. Zombies?,How familiar are you with Plants vs. Zombies?,你对植物大战僵尸这款游戏的熟悉程度
TOWERDEFENSE_PLANT_CHOMPERBLOW_NAME,Chomper Blow,Chomper Blow,三叶大嘴花
SHOP_NPC_TALK_PLANT_WILDPEA_CUSTOM_0,,,狂野机枪射手的皮肤！你可以在图鉴装扮你的植物！
LEVLE_EVENT_CHAGE_PROTAL_POS,ChangeProtalPos,ChangeProtalPos,改变传送门位置
TOWERDEFENSE_TIPS_HUGEWAVE,A HUGE WAVE OF ZOMBIES IS APPROACHINE!,A HUGE WAVE OF ZOMBIES IS APPROACHINE!,一大波僵尸正在接近!
TOWERDEFENSE_PLANT_PEASHOOTERSINGLE_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]20/1.5s[/color]
范围：[color=cc241d]前方一行[/color]"
TOWERDEFENSE_PLANT_SNOWPEA_NAME,Ice Archer,Ice Archer,寒冰射手
TOWERDEFENSE_PLANT_FIRESNOWPEA_NAME,Ice Fire Splitting Archer,Ice Fire Splitting Archer,冰火裂荚射手
TOWERDEFENSE_PLANT_CACTUSBLOVER_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]20×20/行[/color]
范围：[color=cc241d]全场各行[/color]
特性：[color=C71585]吹退僵尸[/color]
特点：[color=cc241d]吹退全屏僵尸0.5格（大型僵尸，巨人，车除外），吹走空中小型僵尸（如气球僵尸和多彩气球）和浓雾，并在每行释放20枚尖刺。[/color]"
TOWERDEFENSE_SHOVEL_JALAPENO_HANDBOOK_EXPRESTION,,,特点：[color=cc241d]铲掉植物时，释放一次整行的火焰效果，对本行僵尸造成等同于植物价格的火焰伤害（铲掉价格为0的植物不触发效果）[/color]
TOWERDEFENSE_ZOMBIE_DARKFOOTBALL_NAME,Dark football zombie,Dark football zombie,暗黑橄榄球僵尸
TOWERDEFENSE_ZOMBIE_SNORKLE_EXPRESTION,,,潜水僵尸可以在水下潜行。
TOWERDEFENSE_ZOMBIE_DOLPHINSN_HANDBOOK_STORY,,,为了在水下骑乘海豚，海豚骑士借来了一套潜水装备。虽然没有多余的面罩留给他的海豚，但他并不担心海豚会被淹死——诚然海豚需要呼吸，但别忘了，那海豚也是个僵尸。
TOWERDEFENSE_PLANT_GATLINGPOT_NAME,Gatlingpot,Gatlingpot,机枪花盆
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_HANDBOOK_STORY,,,这个冰瓜条纹的帽子让大喷菇一下变成了蘑菇家族里最特殊的一个，每个蘑菇都在惊讶他的伞盖就像冬天的凉意，给了他们与众不同的感觉…哦不，他要打喷嚏了，大家快躲开，躲开！
TOWERDEFENSE_PLANT_SUNBOMB_HANDBOOK_STORY,,,在是否要从僵尸身上获取阳光的问题上，阳光炸弹和向日葵有过激烈的争执，但是这并不妨碍她在每周四的下午准时参加阳光爱好者俱乐部。
TOWERDEFENSE_ZOMBIE_DARKFOOTBALL_HANDBOOK_STORY,,,在球场上，暗黑橄榄球僵尸身为队长，总是能表现出300%的热情。他对防守和进攻了如指掌，虽然他还是不懂橄榄球。
TOWERDEFENSE_PLANT_PUMPKINFIREICE_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]4000[/color]
威力：[color=cc241d]40/1.5s（冰焰伤害）[/color]
范围：[color=cc241d]自身周围一格[/color]
特性：[color=C71585]点燃豌豆为冰焰豌豆、保护植物、紫卡植物、本格植物免疫减速与冻结[/color]
特点：[color=cc241d]灼烧靠近的僵尸，使其每1.5秒受到40点冰焰伤害[/color]
紫卡植物：[color=0000FF]需要种植在火焰南瓜头上[/color]"
<!MissingKey:我是老手>,I'm a veteran,I'm a veteran,我是老手
TOWERDEFENSE_SHOVEL_JALAPENO_HANDBOOK_STORY,,,一把火辣辣的铲子，冬天拿在手里也很温暖。
TOWERDEFENSE_PLANT_MELONPULT_HANDBOOK_STORY,,,低调从来不是西瓜投手的风格，“太阳——赐予我——力量，我是草地上最能打的。”他说，“我不是吹牛，瞅瞅那些统计数据，你就会明白了。”
TOWERDEFENSE_PLANT_THREECACTUS_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]20x3/1.5s[/color]
范围：[color=cc241d]前方一行[/color]
特性：[color=C71585]紫卡植物[/color]
特点：[color=cc241d]攻击时会将本行所有小体型僵尸向后稍微击退（对空中僵尸击退幅度更大）
会优先跳起来攻击空中僵尸[/color]
紫卡植物：[color=0000FF]需要种植在双发仙人掌上[/color]"
TOWERDEFENSE_PLANT_CHOMPERBLOW_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]吞噬（秒杀，仅限小型僵尸）[/color]
范围：[color=cc241d]前方一行[/color]
特点：[color=cc241d]当本行前方有可吞噬僵尸时，旋转扇叶将其吸过来吃掉；消化完毕后向前吹风，将前方全部小体型飞行僵尸吹退3格、地面小体型僵尸吹退1格[/color]"
<!MissingKey:南瓜壳，可以用它的外壳保护着其它的植物。>,,,南瓜壳，可以用它的外壳保护着其它的植物。
TOWERDEFENSE_PLANT_PEACAT_HANDBOOK_STORY,,,“听说大家都喜欢猫娘，于是我勉为其难的穿上了这副装扮。这样，你的老伙计，豌豆射手，也能有更多的出场机会了。”顺便一提，他不喜欢猫尾草送给他的帽子。
TOWERDEFENSE_PLANT_DOOMTANGLEKELP_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]即死（拉下水）+ 1800（毁灭菇）[/color]
范围：[color=cc241d]以自身为圆心半径约3.5格的圆[/color]
特性：[color=C71585]只能种在水中[/color]
特点：[color=cc241d]将最靠近的一只僵尸拉下水，然后释放毁灭菇效果：对范围内全部僵尸造成1800灰烬伤害，并留下坑洞[/color]"
TOWERDEFENSE_PLANT_SUNMINE_EXPRESTION,,,爆炸时提供阳光的免费地雷，需要一点时间来武装自己。
SHOP_ITEM_POYREPLACEMENT,,,花盆替换术
TOWERDEFENSE_ZOMBIE_POLEVAULTING_HANDBOOK_STORY,,,一些僵尸渴望走得更远、得到更多，这也促使他们由普通成为非凡。那就是撑杆僵尸。
TOWERDEFENSE_ZOMBIE_DUCKRIDER_HANDBOOK_STORY,,,骑鸭僵尸顺走其他僵尸的装备，拼凑出了他的坐骑。他很乐意让别人搭一程顺风车，除非你说他的坐骑是一只鸭子——因为他以为这是一只鸵鸟。
TOWERDEFENSE_PLANT_ICETALLNUT_EXPRESTION,,,高冰果具有强大的防守能力！还能发射子弹！
TOWERDEFENSE_MOWER_SUN_HANDBOOK_EXPRESTION,,,特点：[color=cc241d]替换草坪小推车，每碾压一只僵尸掉落25点阳光
TOWERDEFENSE_ZOMBIE_FLAG_EXPRESTION,,,摇旗僵尸标志着即将来袭的一大群僵尸。
TOWERDEFENSE_ZOMBIE_ZOMBONI_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]1350[/color]
伤害：[color=cc241d]即死（碾压）[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]车类僵尸[/color]
速度：[color=cc241d]慢[/color]
特点：[color=cc241d]碾压植物，留下不可种植的冰道[/color]
弱点：[color=441D62]地刺[/color]"
TOWERDEFENSE_ZOMBIE_NEWSPAPER_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]150 + 270[/color]
伤害：[color=cc241d]200/s[/color]
佩戴：[color=cc241d]报纸（二类）[/color]
类型：[color=cc241d]小型僵尸[/color]
移速：[color=cc241d]普通，而后快（失去报纸后）[/color]
弱点：[color=441D62]穿透攻击[/color]"
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_CUSTOM_1_NAME,,,盛夏特饮
TOWERDEFENSE_ZOMBIE_GARGANTUAR_PRESENTBOX_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]3000[/color]
伤害：[color=cc241d]即死（锤击）[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]大型僵尸[/color]
速度：[color=cc241d]非常慢[/color]
特性：[color=C71585]锤扁植物[/color]
特点：[color=cc241d]低于一定血量时会丢出小鬼僵尸[/color]
亡语：[color=cc241d]在死亡位置生成一只随机巨人/巨大体型僵尸，巨大僵尸数值翻倍[/color]"
TOWERDEFENSE_ZOMBIE_POLESTRIKER_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]1400 + 270[/color]
伤害：[color=cc241d]200/s[/color]
佩戴：[color=cc241d]橄榄头盔（一类）[/color]
类型：[color=cc241d]小型僵尸[/color]
移速：[color=cc241d]快[/color]
特点：[color=cc241d]一次性跃过2格距离[/color]
弱点：[color=441D62]磁力菇、高坚果[/color]"
TOWERDEFENSE_PLANT_GATLINGPOT_EXPRESTION,,,机枪花盆能一次发射四颗豌豆！
TOWERDEFENSE_PLANT_ICESUNMINE_EXPRESTION,,,触发式爆炸型寒光菇！
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_1_STORY,,,“我独自走在~郊外的小路上~”
TOWERDEFENSE_PLANT_JALACHERRYBOMB_NAME,Jalapeno CherryBomb ,CherryBomb,樱桃辣椒
TOWERDEFENSE_ZOMBIE_JACKBOX_HANDBOOK_STORY,,,这只僵尸颤抖着，不是因为他冷，而是因为他疯。
TOWERDEFENSE_SHOVEL_COLD_EXPRESTION,,,移除植物时向前发射寒冰豌豆！
SHOP_PLANT_SUNSHROOM_CUSTOM_1,,,草耙
BGM_BACKYARD,Back Yard,Back Yard,后院(白天)
TOWERDEFENSE_ZOMBIE_GATLINGDOLPHINRIDER_NAME,Snorkel Zombie,Snorkel Zombie,机枪海豚僵尸
TOWERDEFENSE_PLANT_WILDPEA_EXPRESTION,,,狂野机枪射手可以朝前方发射霰弹豌豆。
TOWERDEFENSE_SHOVEL_JALAPENO_NAME,Jalapeno shovel,Jalapeno shovel,辣椒铲
TOWERDEFENSE_PLANT_TABOODOOMSHROOM_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]无限大[/color]
范围：[color=cc241d]以自身为圆心半径约3.5格的圆[/color]
特点：[color=cc241d]每消灭一个僵尸，僵尸所在格留下一个坑洞[/color]"
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_2_NAME,,,夏日时光
